id,chuong_id,chuong_ten,dieu_id,dieu_ten,khoan_id,diem_id,cap_do,noi_dung,full_citation,ten_van_ban,ngay_ban_hanh,co_quan_ban_hanh,so_hieu,keyphrase,dang_quy_dinh
11,I,QUY ĐỊNH CHUNG,3,Giải thích từ ngữ,2,,khoan,"An toàn lao động là giải pháp phòng, chống tác động của các yếu tố nguy hiểm nhằm bảo đảm không xảy ra thương tật, tử vong đối với con người trong quá trình lao động.","Điều 3, Khoản 2 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,yếu tố nguy hiểm|xảy ra|quá trình lao động,khac
12,I,QUY ĐỊNH CHUNG,3,Giải thích từ ngữ,3,,khoan,"Vệ sinh lao động là giải pháp phòng, chống tác động của yếu tố có hại gây bệnh tật, làm suy giảm sức khỏe cho con người trong quá trình lao động.","Điều 3, Khoản 3 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,yếu tố có hại|sức khỏe|quá trình lao động,khac
13,I,QUY ĐỊNH CHUNG,3,Giải thích từ ngữ,4,,khoan,"Yếu tố nguy hiểm là yếu tố gây mất an toàn, làm tổn thương hoặc gây tử vong cho con người trong quá trình lao động.","Điều 3, Khoản 4 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,mất an toàn|gây mất an toàn|yếu tố nguy hiểm|quá trình lao động,khac
14,I,QUY ĐỊNH CHUNG,3,Giải thích từ ngữ,5,,khoan,"Yếu tố có hại là yếu tố gây bệnh tật, làm suy giảm sức khỏe con người trong quá trình lao động.","Điều 3, Khoản 5 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,yếu tố có hại|quá trình lao động,khac
15,I,QUY ĐỊNH CHUNG,3,Giải thích từ ngữ,6,,khoan,"Sự cố kỹ thuật gây mất an toàn, vệ sinh lao động là hư hỏng của máy, thiết bị, vật tư, chất vượt quá giới hạn an toàn kỹ thuật cho phép, xảy ra trong quá trình lao động và gây thiệt hại hoặc có nguy cơ gây thiệt hại cho con người, tài sản và môi trường.","Điều 3, Khoản 6 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,mất an toàn|gây mất an toàn|xảy ra|quá trình lao động,khac
16,I,QUY ĐỊNH CHUNG,3,Giải thích từ ngữ,7,,khoan,"Sự cố kỹ thuật gây mất an toàn, vệ sinh lao động nghiêm trọng là sự cố kỹ thuật gây mất an toàn, vệ sinh lao động lớn, xảy ra trên diện rộng và vượt khả năng ứng phó của cơ sở sản xuất, kinh doanh, cơ quan, tổ chức, địa phương hoặc liên quan đến nhiều cơ sở sản xuất, kinh doanh, địa phương.","Điều 3, Khoản 7 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,mất an toàn|gây mất an toàn|xảy ra,khac
17,I,QUY ĐỊNH CHUNG,3,Giải thích từ ngữ,8,,khoan,"Tai nạn lao động là tai nạn gây tổn thương cho bất kỳ bộ phận, chức năng nào của cơ thể hoặc gây tử vong cho người lao động, xảy ra trong quá trình lao động, gắn liền với việc thực hiện công việc, nhiệm vụ lao động.","Điều 3, Khoản 8 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,tai nạn lao động|xảy ra|quá trình lao động|người lao động,dinh_nghia
18,I,QUY ĐỊNH CHUNG,3,Giải thích từ ngữ,9,,khoan,Bệnh nghề nghiệp là bệnh phát sinh do điều kiện lao động có hại của nghề nghiệp tác động đối với người lao động.,"Điều 3, Khoản 9 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,bệnh nghề nghiệp|điều kiện lao động|người lao động,dinh_nghia
19,I,QUY ĐỊNH CHUNG,3,Giải thích từ ngữ,10,,khoan,"Quan trắc môi trường lao động là hoạt động thu thập, phân tích, đánh giá số liệu đo lường các yếu tố trong môi trường lao động tại nơi làm việc để có biện pháp giảm thiểu tác hại đối với sức khỏe, phòng, chống bệnh nghề nghiệp.","Điều 3, Khoản 10 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,bệnh nghề nghiệp|nơi làm việc,khac
20,I,QUY ĐỊNH CHUNG,4,"Chính sách của Nhà nước về an toàn, vệ sinh lao động",1,,khoan,"Tạo điều kiện thuận lợi để người sử dụng lao động, người lao động, cơ quan, tổ chức, cá nhân khác có liên quan thực hiện các biện pháp bảo đảm an toàn, vệ sinh lao động trong quá trình lao động; khuyến khích người sử dụng lao động, người lao động áp dụng các tiêu chuẩn kỹ thuật, hệ thống quản lý tiên tiến, hiện đại và áp dụng công nghệ tiên tiến, công nghệ cao, công nghệ thân thiện với môi trường trong quá trình lao động.","Điều 4, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,bảo đảm an toàn|quá trình lao động|người lao động|người sử dụng lao động,dieu_kien
21,I,QUY ĐỊNH CHUNG,4,"Chính sách của Nhà nước về an toàn, vệ sinh lao động",2,,khoan,"Đầu tư nghiên cứu, ứng dụng khoa học và công nghệ về an toàn, vệ sinh lao động; hỗ trợ xây dựng phòng thí nghiệm, thử nghiệm đạt chuẩn quốc gia phục vụ an toàn, vệ sinh lao động.","Điều 4, Khoản 2 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,,khac
22,I,QUY ĐỊNH CHUNG,4,"Chính sách của Nhà nước về an toàn, vệ sinh lao động",3,,khoan,"Hỗ trợ phòng ngừa tai nạn lao động, bệnh nghề nghiệp trong các ngành, lĩnh vực có nguy cơ cao về tai nạn lao động, bệnh nghề nghiệp; khuyến khích các tổ chức xây dựng, công bố hoặc sử dụng tiêu chuẩn kỹ thuật tiên tiến, hiện đại về an toàn, vệ sinh lao động trong quá trình lao động.","Điều 4, Khoản 3 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,tai nạn lao động|bệnh nghề nghiệp|quá trình lao động,khac
23,I,QUY ĐỊNH CHUNG,4,"Chính sách của Nhà nước về an toàn, vệ sinh lao động",4,,khoan,"Hỗ trợ huấn luyện an toàn, vệ sinh lao động cho người lao động làm việc không theo hợp đồng lao động làm các công việc có yêu cầu nghiêm ngặt về an toàn, vệ sinh lao động.","Điều 4, Khoản 4 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,hợp đồng lao động|người lao động|người lao động làm việc không theo hợp đồng lao động,khac
24,I,QUY ĐỊNH CHUNG,4,"Chính sách của Nhà nước về an toàn, vệ sinh lao động",5,,khoan,"Phát triển đối tượng tham gia bảo hiểm tai nạn lao động tự nguyện; xây dựng cơ chế đóng, hưởng linh hoạt nhằm phòng ngừa, giảm thiểu, khắc phục rủi ro cho người lao động.","Điều 4, Khoản 5 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,tai nạn lao động|bảo hiểm tai nạn lao động|người lao động,khac
25,I,QUY ĐỊNH CHUNG,5,"Nguyên tắc bảo đảm an toàn, vệ sinh lao động",1,,khoan,"Bảo đảm quyền của người lao động được làm việc trong điều kiện an toàn, vệ sinh lao động.","Điều 5, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,người lao động,dieu_kien
26,I,QUY ĐỊNH CHUNG,5,"Nguyên tắc bảo đảm an toàn, vệ sinh lao động",2,,khoan,"Tuân thủ đầy đủ các biện pháp an toàn, vệ sinh lao động trong quá trình lao động; ưu tiên các biện pháp phòng ngừa, loại trừ, kiểm soát các yếu tố nguy hiểm, yếu tố có hại trong quá trình lao động.","Điều 5, Khoản 2 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,yếu tố có hại|yếu tố nguy hiểm|quá trình lao động,khac
27,I,QUY ĐỊNH CHUNG,5,"Nguyên tắc bảo đảm an toàn, vệ sinh lao động",3,,khoan,"Tham vấn ý kiến tổ chức công đoàn, tổ chức đại diện người sử dụng lao động, Hội đồng về an toàn, vệ sinh lao động các cấp trong xây dựng, thực hiện chính sách, pháp luật, chương trình, kế hoạch về an toàn, vệ sinh lao động.","Điều 5, Khoản 3 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,người sử dụng lao động,khac
28,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",1,,khoan,Người lao động làm việc theo hợp đồng lao động có quyền sau đây,"Điều 6, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,hợp đồng lao động|người lao động|người lao động làm việc theo hợp đồng lao động,quyen
29,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",1,a,diem,"Được bảo đảm các điều kiện làm việc công bằng, an toàn, vệ sinh lao động; yêu cầu người sử dụng lao động có trách nhiệm bảo đảm điều kiện làm việc an toàn, vệ sinh lao động trong quá trình lao động, tại nơi làm việc;","Điều 6, Khoản 1, Điểm a - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,nơi làm việc|quá trình lao động|người sử dụng lao động,quyen
30,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",1,b,diem,"Được cung cấp thông tin đầy đủ về các yếu tố nguy hiểm, yếu tố có hại tại nơi làm việc và những biện pháp phòng, chống; được đào tạo, huấn luyện về an toàn, vệ sinh lao động;","Điều 6, Khoản 1, Điểm b - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,nơi làm việc|yếu tố có hại|yếu tố nguy hiểm,quyen
31,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",1,c,diem,"Được thực hiện chế độ bảo hộ lao động, chăm sóc sức khỏe, khám phát hiện bệnh nghề nghiệp; được người sử dụng lao động đóng bảo hiểm tai nạn lao động, bệnh nghề nghiệp; được hưởng đầy đủ chế độ đối với người bị tai nạn lao động, bệnh nghề nghiệp; được trả phí khám giám định thương tật, bệnh tật do tai nạn lao động, bệnh nghề nghiệp; được chủ động đi khám giám định mức suy giảm khả năng lao động và được trả phí khám giám định trong trường hợp kết quả khám giám định đủ điều kiện để điều chỉnh tăng mức hưởng trợ cấp tai nạn lao động, bệnh nghề nghiệp;","Điều 6, Khoản 1, Điểm c - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,tai nạn lao động|bệnh nghề nghiệp|bảo hiểm tai nạn lao động|khả năng lao động|suy giảm khả năng lao động|người sử dụng lao động,quyen
32,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",1,d,diem,"Yêu cầu người sử dụng lao động bố trí công việc phù hợp sau khi điều trị ổn định do bị tai nạn lao động, bệnh nghề nghiệp;","Điều 6, Khoản 1, Điểm d - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,tai nạn lao động|bệnh nghề nghiệp|người sử dụng lao động,khac
33,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",1,đ,diem,"Từ chối làm công việc hoặc rời bỏ nơi làm việc mà vẫn được trả đủ tiền lương và không bị coi là vi phạm kỷ luật lao động khi thấy rõ có nguy cơ xảy ra tai nạn lao động đe dọa nghiêm trọng tính mạng hoặc sức khỏe của mình nhưng phải báo ngay cho người quản lý trực tiếp để có phương án xử lý; chỉ tiếp tục làm việc khi người quản lý trực tiếp và người phụ trách công tác an toàn, vệ sinh lao động đã khắc phục các nguy cơ để bảo đảm an toàn, vệ sinh lao động;","Điều 6, Khoản 1, Điểm đ - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,tai nạn lao động|nơi làm việc|bảo đảm an toàn|xảy ra,quyen
34,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",1,e,diem,"Khiếu nại, tố cáo hoặc khởi kiện theo quy định của pháp luật.","Điều 6, Khoản 1, Điểm e - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,,khac
35,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",2,,khoan,Người lao động làm việc theo hợp đồng lao động có nghĩa vụ sau đây,"Điều 6, Khoản 2 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,hợp đồng lao động|người lao động|người lao động làm việc theo hợp đồng lao động,nghia_vu
36,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",2,a,diem,"Chấp hành nội quy, quy trình và biện pháp bảo đảm an toàn, vệ sinh lao động tại nơi làm việc; tuân thủ các giao kết về an toàn, vệ sinh lao động trong hợp đồng lao động, thỏa ước lao động tập thể;","Điều 6, Khoản 2, Điểm a - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,nơi làm việc|bảo đảm an toàn|hợp đồng lao động,nghia_vu
37,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",2,b,diem,"Sử dụng và bảo quản các phương tiện bảo vệ cá nhân đã được trang cấp; các thiết bị bảo đảm an toàn, vệ sinh lao động tại nơi làm việc;","Điều 6, Khoản 2, Điểm b - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,nơi làm việc|bảo đảm an toàn,khac
38,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",2,c,diem,"Báo cáo kịp thời với người có trách nhiệm khi phát hiện nguy cơ xảy ra sự cố kỹ thuật gây mất an toàn, vệ sinh lao động, tai nạn lao động hoặc bệnh nghề nghiệp; chủ động tham gia cấp cứu, khắc phục sự cố, tai nạn lao động theo phương án xử lý sự cố, ứng cứu khẩn cấp hoặc khi có lệnh của người sử dụng lao động hoặc cơ quan nhà nước có thẩm quyền.","Điều 6, Khoản 2, Điểm c - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,tai nạn lao động|bệnh nghề nghiệp|mất an toàn|gây mất an toàn|xảy ra|có thẩm quyền|người sử dụng lao động,nghia_vu
39,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",3,,khoan,Người lao động làm việc không theo hợp đồng lao động có quyền sau đây,"Điều 6, Khoản 3 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,hợp đồng lao động|người lao động|người lao động làm việc không theo hợp đồng lao động,quyen
40,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",3,a,diem,"Được làm việc trong điều kiện an toàn, vệ sinh lao động; được Nhà nước, xã hội và gia đình tạo điều kiện để làm việc trong môi trường an toàn, vệ sinh lao động;","Điều 6, Khoản 3, Điểm a - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,,dieu_kien
41,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",3,b,diem,"Tiếp nhận thông tin, tuyên truyền, giáo dục về công tác an toàn, vệ sinh lao động; được huấn luyện an toàn, vệ sinh lao động khi làm các công việc có yêu cầu nghiêm ngặt về an toàn, vệ sinh lao động;","Điều 6, Khoản 3, Điểm b - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,,khac
42,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",3,c,diem,Tham gia và hưởng bảo hiểm tai nạn lao động theo hình thức tự nguyện do Chính phủ quy định.,"Điều 6, Khoản 3, Điểm c - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,tai nạn lao động|bảo hiểm tai nạn lao động|chính phủ quy định,khac
43,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",3,,khoan_bo_sung,"Căn cứ vào điều kiện phát triển kinh tế   xã hội, khả năng ngân sách nhà nước trong từng thời kỳ, Chính phủ quy định chi tiết về việc hỗ trợ tiền đóng bảo hiểm tai nạn lao động theo hình thức tự nguyện;","Điều 6 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,tai nạn lao động|quy định chi tiết|bảo hiểm tai nạn lao động|chính phủ quy định|chính phủ quy định chi tiết,dieu_kien
44,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",3,d,diem,"Khiếu nại, tố cáo hoặc khởi kiện theo quy định của pháp luật.","Điều 6, Khoản 3, Điểm d - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,,khac
45,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",4,,khoan,Người lao động làm việc không theo hợp đồng lao động có nghĩa vụ sau đây,"Điều 6, Khoản 4 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,hợp đồng lao động|người lao động|người lao động làm việc không theo hợp đồng lao động,nghia_vu
46,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",4,a,diem,"Chịu trách nhiệm về an toàn, vệ sinh lao động đối với công việc do mình thực hiện theo quy định của pháp luật;","Điều 6, Khoản 4, Điểm a - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,chịu trách nhiệm,khac
47,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",4,b,diem,"Bảo đảm an toàn, vệ sinh lao động đối với những người có liên quan trong quá trình lao động;","Điều 6, Khoản 4, Điểm b - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,bảo đảm an toàn|quá trình lao động,khac
48,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",4,c,diem,"Thông báo với chính quyền địa phương để có biện pháp ngăn chặn kịp thời các hành vi gây mất an toàn, vệ sinh lao động.","Điều 6, Khoản 4, Điểm c - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,mất an toàn|gây mất an toàn,khac
49,I,QUY ĐỊNH CHUNG,6,"Quyền và nghĩa vụ về an toàn, vệ sinh lao động của người lao động",5,,khoan,"Cán bộ, công chức, viên chức, người thuộc lực lượng vũ trang nhân dân có quyền và nghĩa vụ về an toàn, vệ sinh lao động như đối với người lao động quy định tại khoản 1 và khoản 2 Điều này, trừ trường hợp văn bản quy phạm pháp luật áp dụng riêng với đối tượng này có quy định khác.","Điều 6, Khoản 5 - Luật An toàn, vệ sinh lao động số 84/2015/QH13","Luật An toàn, vệ sinh lao động 2015",ngày 25 tháng 06 năm 2015,Quốc Hội,Luật số: 84/2015/QH13,người lao động,quyen
