phuong_phap,cau_hoi,dap_an_dung,top1_citation,hang_dung,Hit@1,Hit@3,Hit@5,MRR,thoi_gian,nhom_chu_de,do_kho
TF-IDF,"Ai có thẩm quyền ban hành Danh mục nghề, công việc nặng nhọc, độc hại, nguy hiểm?","Điều 22, Khoản 2","Điều 22, Khoản 2 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0026,Chương II,trung_binh
TF-IDF,"Biển cảnh báo và bảng chỉ dẫn về an toàn, vệ sinh lao động phải được viết bằng ngôn ngữ nào?","Điều 16, Khoản 6","Điều 16, Khoản 6 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương II,trung_binh
TF-IDF,"Người lao động có trách nhiệm gì trong việc bảo đảm an toàn, vệ sinh lao động tại nơi làm việc?","Điều 17 - | Điều 17,","Điều 6, Khoản 1, Điểm a - Luật An toàn, vệ sinh lao động số 84/2015/QH13",0,0,0,0,0.0,0.0027,Chương II,trung_binh
TF-IDF,"Người lao động có bắt buộc phải tham gia huấn luyện an toàn, vệ sinh lao động trước khi sử dụng máy, thiết bị có yêu cầu nghiêm ngặt không?","Điều 17, Khoản 3","Điều 17, Khoản 3 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương II,trung_binh
TF-IDF,"Những đối tượng nào phải tham dự khóa huấn luyện an toàn, vệ sinh lao động và được cấp giấy chứng nhận?","Điều 14, Khoản 1","Điều 14, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương II,kho
TF-IDF,Thẻ an toàn được người sử dụng lao động cấp cho người lao động trong trường hợp nào?,"Điều 14, Khoản 2","Điều 2, Khoản 5 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",2,0,1,1,0.5,0.0026,Chương II,trung_binh
TF-IDF,"Khi phát hiện nguy cơ xảy ra tai nạn lao động nghiêm trọng, người sử dụng lao động phải làm gì?","Điều 19, Khoản 2","Điều 7, Khoản 2, Điểm c - Luật An toàn, vệ sinh lao động số 84/2015/QH13",0,0,0,0,0.0,0.0025,Chương II,trung_binh
TF-IDF,Người sử dụng lao động có trách nhiệm gì về điều dưỡng phục hồi sức khỏe cho người lao động?,"Điều 26 - | Điều 26,","Điều 42, Khoản 4 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",2,0,1,1,0.5,0.0025,Chương II,trung_binh
TF-IDF,Hồ sơ sức khỏe của người lao động do ai lập và quản lý?,"Điều 27, Khoản 2","Điều 27, Khoản 2 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương II,trung_binh
TF-IDF,Người lao động bị tai nạn lao động suy giảm khả năng lao động từ 5% đến 10% được bồi thường ít nhất bao nhiêu tháng tiền lương?,"Điều 38, Khoản 4","Điều 38, Khoản 4, Điểm a - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương III,de
TF-IDF,Người lao động bị tai nạn lao động suy giảm khả năng lao động từ 81% trở lên được bồi thường bao nhiêu tháng tiền lương?,"Điều 38, Khoản 4","Điều 38, Khoản 4, Điểm b - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương III,de
TF-IDF,Thân nhân của người lao động bị chết do tai nạn lao động được bồi thường bao nhiêu?,"Điều 38, Khoản 4","Điều 53, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",2,0,1,1,0.5,0.0025,Chương III,de
TF-IDF,Nếu tai nạn lao động do lỗi của chính người lao động gây ra thì người lao động được trợ cấp bao nhiêu?,"Điều 38, Khoản 5","Điều 38, Khoản 4 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",2,0,1,1,0.5,0.0025,Chương III,trung_binh
TF-IDF,"Người sử dụng lao động phải thực hiện bồi thường, trợ cấp tai nạn lao động trong thời hạn bao nhiêu ngày?","Điều 38, Khoản 7","Điều 38, Khoản 7 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0026,Chương III,trung_binh
TF-IDF,Tai nạn xảy ra trên tuyến đường đi từ nơi ở đến nơi làm việc có được hưởng chế độ tai nạn lao động không?,"Điều 45, Khoản 1","Điều 45, Khoản 1, Điểm c - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương III,trung_binh
TF-IDF,Người lao động bị tai nạn khi đi từ nơi ở đến nơi làm việc mà do lỗi của người khác hoặc không xác định được người gây tai nạn thì người sử dụng lao động phải làm gì?,"Điều 39, Khoản 2","Điều 39, Khoản 2 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0026,Chương III,kho
TF-IDF,Những trường hợp nào người lao động KHÔNG được hưởng chế độ tai nạn lao động từ người sử dụng lao động?,"Điều 40, Khoản 1","Điều 40, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương III,trung_binh
TF-IDF,"Người sử dụng lao động phải đóng bảo hiểm tai nạn lao động, bệnh nghề nghiệp với mức tối đa bao nhiêu phần trăm quỹ tiền lương?","Điều 44, Khoản 1","Điều 44, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương III,de
TF-IDF,Người lao động được hưởng chế độ tai nạn lao động khi bị suy giảm khả năng lao động từ bao nhiêu phần trăm trở lên?,"Điều 45, Khoản 2","Điều 49, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",3,0,1,1,0.3333333333333333,0.0026,Chương III,de
TF-IDF,Người lao động được hưởng chế độ bệnh nghề nghiệp khi có đủ các điều kiện nào?,"Điều 46, Khoản 1","Điều 46, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương III,trung_binh
TF-IDF,Người lao động bị suy giảm khả năng lao động từ 5% đến 30% được hưởng trợ cấp gì?,"Điều 48, Khoản 1","Điều 48, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0024,Chương III,de
TF-IDF,Mức trợ cấp một lần khi suy giảm 5% khả năng lao động được tính như thế nào?,"Điều 48, Khoản 2","Điều 48, Khoản 2 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương III,kho
TF-IDF,Người lao động bị suy giảm khả năng lao động từ 31% trở lên được hưởng trợ cấp gì?,"Điều 49, Khoản 1","Điều 49, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương III,de
TF-IDF,Mức trợ cấp hàng tháng khi suy giảm 31% khả năng lao động là bao nhiêu?,"Điều 49, Khoản 2","Điều 49, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",2,0,1,1,0.5,0.0024,Chương III,kho
TF-IDF,"Sau bao lâu thì người lao động được giám định lại mức suy giảm khả năng lao động do thương tật, bệnh tật tái phát?","Điều 47, Khoản 3","Điều 47, Khoản 1, Điểm b - Luật An toàn, vệ sinh lao động số 84/2015/QH13",0,0,0,0,0.0,0.0025,Chương III,kho
TF-IDF,Người lao động được giám định tổng hợp mức suy giảm khả năng lao động trong những trường hợp nào?,"Điều 47, Khoản 2","Điều 47, Khoản 2 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0027,Chương III,trung_binh
TF-IDF,Người sử dụng lao động có trách nhiệm thanh toán chi phí y tế cho người lao động bị tai nạn lao động như thế nào?,"Điều 38, Khoản 2","Điều 38, Khoản 2, Điểm c - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương III,trung_binh
TF-IDF,Người lao động nghỉ việc để điều trị tai nạn lao động có được trả lương không?,"Điều 38, Khoản 3","Điều 38, Khoản 3 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương III,de
TF-IDF,"Khi xảy ra tai nạn lao động, thủ tục và trách nhiệm khai báo được quy định ở điều nào?","Điều 34 - | Điều 34,","Điều 34, Khoản 1, Điểm d - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0024,Chương III,trung_binh
TF-IDF,Đoàn điều tra tai nạn lao động cấp cơ sở do ai thành lập và gồm những thành phần nào?,"Điều 35, Khoản 1","Điều 35 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",0,0,0,0,0.0,0.0025,Chương III,kho
TF-IDF,"Quỹ bảo hiểm tai nạn lao động, bệnh nghề nghiệp được sử dụng cho những khoản chi nào?","Điều 42 - | Điều 42,","Điều 44, Khoản 2 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",0,0,0,0,0.0,0.0024,Chương III,kho
TF-IDF,Người sử dụng lao động có trách nhiệm sắp xếp công việc cho người lao động bị tai nạn lao động như thế nào sau khi điều trị?,"Điều 38, Khoản 8","Điều 38, Khoản 8 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0026,Chương III,trung_binh
TF-IDF,"An toàn, vệ sinh lao động đối với lao động nữ, lao động chưa thành niên và lao động là người khuyết tật được quy định ở điều nào?","Điều 63 - | Điều 63,","Điều 63 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0026,Chương IV,trung_binh
TF-IDF,"Điều kiện sử dụng người lao động cao tuổi làm nghề, công việc nặng nhọc, độc hại, nguy hiểm được quy định ở điều nào?","Điều 64 - | Điều 64,","Điều 64, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương IV,kho
TF-IDF,"Bộ phận an toàn, vệ sinh lao động trong cơ sở sản xuất, kinh doanh có nhiệm vụ gì?","Điều 72 - | Điều 72,","Điều 72, Khoản 2 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương V,kho
TF-IDF,"Mỗi tổ sản xuất trong cơ sở sản xuất, kinh doanh phải có ít nhất bao nhiêu an toàn, vệ sinh viên?","Điều 74, Khoản 1","Điều 74, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",1,1,1,1,1.0,0.0025,Chương V,de
TF-IDF,"Cơ sở sản xuất, kinh doanh phải xây dựng kế hoạch an toàn, vệ sinh lao động theo quy định ở điều nào?","Điều 76 - | Điều 76,","Điều 72, Khoản 2, Điểm b - Luật An toàn, vệ sinh lao động số 84/2015/QH13",3,0,1,1,0.3333333333333333,0.0035,Chương V,trung_binh
TF-IDF,"Nội dung quản lý nhà nước về an toàn, vệ sinh lao động gồm những gì?","Điều 82 - | Điều 82,","Điều 83, Khoản 1 - Luật An toàn, vệ sinh lao động số 84/2015/QH13",0,0,0,0,0.0,0.0041,Chương VI,kho
